ID_Contenido,ID_Influencer,categoria1,categoria2
1,1,Sports with a ball,
2,2,Lifestyle,
3,3,Music,
4,4,Shows,
5,5,Lifestyle,Photography
6,6,Lifestyle,
7,7,,
8,8,,
9,9,Sports with a ball,
10,10,Lifestyle,Cinema & Actors/actresses
11,11,Lifestyle,Music
12,12,,
13,13,Lifestyle,
14,14,Music,
15,15,Cinema & Actors/actresses,
16,16,Sports with a ball,
17,17,Music,
18,18,Humor & Fun & Happiness,
19,19,Sports with a ball,
20,20,Sports with a ball,Lifestyle
21,21,Sports with a ball,
22,22,Cinema & Actors/actresses,
23,23,Cinema & Actors/actresses,
24,24,Cinema & Actors/actresses,
25,25,Cinema & Actors/actresses,
26,26,Cinema & Actors/actresses,
27,27,Business & Careers,
28,28,Beauty,
29,29,,
30,30,Lifestyle,
31,31,Lifestyle,Music
32,32,Business & Careers,Finance & Economics
33,33,Humor & Fun & Happiness,
34,34,Cinema & Actors/actresses,
35,35,Cinema & Actors/actresses,
36,36,Humor & Fun & Happiness,
37,37,Cinema & Actors/actresses,
38,38,Sports with a ball,
39,39,Lifestyle,
40,40,Humor & Fun & Happiness,
41,41,Cinema & Actors/actresses,
42,42,Music,Cinema & Actors/actresses
43,43,Sports with a ball,
44,44,Sports with a ball,
45,45,Cinema & Actors/actresses,
46,46,Music,Art/Artists
47,47,Sports with a ball,Literature & Journalism
48,48,Cinema & Actors/actresses,
49,49,Lifestyle,
50,50,Lifestyle,Cinema & Actors/actresses
51,51,Fashion,Lifestyle
52,52,Humor & Fun & Happiness,
53,53,Food & Cooking,
54,54,,
55,55,Cinema & Actors/actresses,
56,56,Lifestyle,Cinema & Actors/actresses
57,57,Cinema & Actors/actresses,Lifestyle
58,58,Music,Modeling
59,59,Cinema & Actors/actresses,
60,60,Family,Shows
61,61,Lifestyle,Beauty
62,62,Sports with a ball,
63,63,Lifestyle,
64,64,Sports with a ball,
65,65,Lifestyle,
66,66,Shows,Cinema & Actors/actresses
67,67,Humor & Fun & Happiness,
68,68,,
69,69,Lifestyle,Music
70,70,Music,
71,71,Lifestyle,
72,72,Cinema & Actors/actresses,
73,73,Sports with a ball,
74,74,Sports with a ball,
75,75,Modeling,Family
76,76,Music,
77,77,Cinema & Actors/actresses,
78,78,Cinema & Actors/actresses,
79,79,Cinema & Actors/actresses,
80,80,Music,
81,81,,
82,82,Beauty,
83,83,Music,
84,84,Music,
85,85,,
86,86,Cinema & Actors/actresses,
87,87,Music,Lifestyle
88,88,Music,Cinema & Actors/actresses
89,89,Cinema & Actors/actresses,
90,90,Shows,
91,91,Music,
92,92,Cinema & Actors/actresses,
93,93,Cinema & Actors/actresses,Lifestyle
94,94,Lifestyle,
95,95,Music,
96,96,Sports with a ball,
97,97,Beauty,
98,98,Beauty,Lifestyle
99,99,Cinema & Actors/actresses,
100,100,Cinema & Actors/actresses,
101,101,Music,Cinema & Actors/actresses
102,102,Shows,Humor & Fun & Happiness
103,103,Music,
104,104,Music,
105,105,Finance & Economics,Business & Careers
106,106,,
107,107,Cinema & Actors/actresses,
108,108,Photography,Travel
109,109,Music,Lifestyle
110,110,Cinema & Actors/actresses,Art/Artists
